winery,country,provinces,min_price,max_price,mean_price,median_price,price_std_dev,min_score,max_score,mean_score,median_score,score_std_dev,designations,varieties,num_wines
2Plank,{'US'},{'California'},25.0,52.0,37.0,34.0,13.74772708486752,84,91,87.66666666666667,88.0,3.5118845842842448,"{'Bonsall', 'Solstice', 'Cold Smoke'}","{'Viognier-Chardonnay', 'Cabernet Sauvignon', 'Viognier'}",3
2nd Chance,{'US'},{'California'},48.0,48.0,48.0,48.0,,87,87,87.0,87.0,,{'Swiss Clones 2A'},{'Pinot Noir'},1
3 Badge Beverage,{'US'},{'California'},30.0,30.0,30.0,30.0,,84,84,84.0,84.0,,{'Gehricke'},{'Chardonnay'},1
3 Horse Ranch Vineyards,{'US'},"{'Washington', 'America', 'Idaho'}",15.0,35.0,21.8,21.0,5.507570547286103,83,89,86.44,87.0,1.8275666882497064,"{'Beau Geste', 'Barrel Select Reserve', 'Reserve Merlot-Grenache-Mourvèdre', 'Reserve', 'Vivacious Viognier 76%/Roussanne 24%', 'Single Vineyard', 'Barrel Select Reserve Cabernet Sauvignon-Merlot-Petit Verdot', 'Vivacious Reserve Viognier-Roussane', '3 Horse Ranch Vineyard', 'Vivacious', 'Syrah 80% Mourvèdre 20%', 'Proprietary Blend Vivacious', 'Estate Grown'}","{'Merlot', 'Cabernet Sauvignon', 'Rosé', 'Sangiovese', 'Syrah', 'White Blend', 'Pinot Gris', 'Syrah-Mourvèdre', 'Bordeaux-style Red Blend', 'Cabernet Sauvignon-Merlot', 'Chardonnay'}",25
3 Spells,{'US'},{'California'},26.0,26.0,26.0,26.0,,81,81,81.0,81.0,,{'Blend GHK'},{'Red Blend'},1
3 Steves Winery,{'US'},{'California'},26.0,26.0,26.0,26.0,,80,80,80.0,80.0,,{'Reserve'},{'Cabernet Sauvignon'},1
32 Winds,{'US'},{'California'},39.0,59.0,49.0,49.0,10.0,86,94,89.0,87.0,4.358898943540674,"{'Hirsch Vineyard', 'Hudson Vineyard', 'Monument Tree Vineyard'}","{'Pinot Noir', 'Chardonnay'}",3
3CV,{'US'},{'California'},20.0,20.0,20.0,20.0,,84,84,84.0,84.0,,{'Bank Three Creek Vineyard'},{'Red Blend'},1
3Fools,{'US'},{'Oregon'},22.0,22.0,22.0,22.0,0.0,82,84,83.33333333333333,84.0,1.1547005383792526,"{'Del Rio Red', 'Fools Gold'}","{'Red Blend', 'Pinot Noir'}",3
428 Wines,{'US'},{'Washington'},34.0,34.0,34.0,34.0,,85,85,85.0,85.0,,{'Boulevard'},{'Red Blend'},1
42°S,{'Australia'},{'Tasmania'},20.0,20.0,20.0,20.0,,89,89,89.0,89.0,,{'Brut Méthode Traditionelle Sparkling Wine'},{'Champagne Blend'},1
460 Casina Bric,{'Italy'},{'Piedmont'},60.0,65.0,62.5,62.5,3.5355339059327378,88,89,88.5,88.5,0.7071067811865476,{'Bricco delle Viole'},{'Nebbiolo'},2
5OS Project,{'Australia'},{'South Australia'},25.0,25.0,25.0,25.0,,90,90,90.0,90.0,,{'Single Vineyard'},{'Shiraz-Viognier'},1
6 North,{'US'},{'California'},29.0,59.0,50.8,55.0,12.537942414925984,85,93,88.0,86.0,3.391164991562634,"{'Flagstone', 'Stagecoach Vineyard Threshold', 'The Big Cat'}","{'Cabernet Sauvignon', 'Zinfandel'}",5
75 Wine Co.,{'US'},{'California'},20.0,20.0,20.0,20.0,,91,91,91.0,91.0,,{'The Sum'},{'Red Blend'},1
8 Chains North,{'US'},{'Virginia'},32.0,32.0,32.0,32.0,,86,86,86.0,86.0,,{'Furnace Mountain Dry'},{'Red Blend'},1
868 Estate,{'US'},{'Virginia'},27.0,27.0,27.0,27.0,,84,84,84.0,84.0,,{'Meritage'},{'Red Blend'},1
:Nota Bene,{'US'},{'Washington'},25.0,40.0,32.55357142857143,30.0,4.662888854297566,85,92,88.16071428571429,88.0,1.745402123130532,"{'Una Notte', 'Stillwater Creek Vineyard', 'Miscela', 'Dineen Vineyard', 'LVdM Vineyard', 'Heart of the Hill Vineyard', 'Arianses Vineyard', 'Conner Lee Vineyard', 'Conner Lee Vineyard Red', 'StoneTree Vineyard', 'Ciel du Cheval', 'Una Note', 'Heart of the Hill', 'Ciel du Cheval Vineyard', 'Verhey Vineyard', 'Abbinare'}","{'Merlot', 'Cabernet Sauvignon', 'Rhône-style Red Blend', 'Malbec', 'Syrah', 'Red Blend', 'Chardonnay', 'Bordeaux-style Red Blend', 'Mourvèdre'}",56
A Blooming Hill Vineyard,{'US'},{'Oregon'},19.0,30.0,28.166666666666668,30.0,4.4907311951024935,85,88,87.0,87.0,1.0954451150103317,"{'Trouble', 'Gemini', 'Mingle'}","{'Pinot Noir', 'White Blend'}",6
A Coroa,{'Spain'},{'Northern Spain'},34.0,34.0,34.0,34.0,,89,89,89.0,89.0,,{'200 Cestos'},{'Godello'},1
A Donkey and Goat,{'US'},{'California'},35.0,35.0,35.0,35.0,0.0,89,91,90.33333333333333,91.0,1.1547005383792495,"{'Fenaughty Vineyard', 'Perli Vineyards'}",{'Syrah'},3
A to Z,{'US'},{'Oregon'},20.0,28.0,24.0,24.0,5.656854249492381,88,90,89.0,89.0,1.4142135623730951,"{'The Essence of Oregon', 'Night & Day Red Wine'}","{'Red Blend', 'Pinot Noir'}",2
A. Christmann,{'Germany'},{'Pfalz'},35.0,73.0,47.5,41.0,17.253019059476713,88,90,89.25,89.5,0.9574271077563381,"{'Königsbacher Idig Trocken', 'Gimmeldinger Biengarten Trocken', 'Deidesheimer Paradiesgarten Trocken'}",{'Riesling'},4
A. D. Coutelas,{'France'},{'Champagne'},40.0,80.0,57.5,57.5,13.322912594474229,87,91,89.66666666666667,90.5,1.7511900715418252,"{'Eloge Blanc de Blancs Brut', 'Origin Brut', 'Vintage Brut', 'Cuvée Louis Victor Brut'}","{'Champagne Blend', 'Chardonnay'}",6
A. Margaine,{'France'},{'Champagne'},55.0,62.0,58.5,58.5,4.949747468305833,88,91,89.5,89.5,2.1213203435596424,"{'Brut Rosé', 'Le Brut Premier Cru'}",{'Champagne Blend'},2
A. Parparoussis,{'Greece'},"{'Greece', 'Achaia'}",23.0,37.0,27.5,25.0,6.403124237432849,83,86,84.5,84.5,1.2909944487358056,"{'Taos Dry Red Wine', 'Les Dons de Dionysos Barrel Fermented Assyrtiko-Athiri', 'Les Dons de Dionysos Barrel Fermented', 'The Gift of Dionysos'}","{'Red Blend', 'White Blend', 'Sideritis'}",4
A. de Luze et Fils,{'France'},{'Bordeaux'},13.0,15.0,14.0,14.0,1.4142135623730951,85,86,85.5,85.5,0.7071067811865476,"{'Fleur de Sauvignon', 'La Belle Citadelle'}","{'Sauvignon Blanc', 'Bordeaux-style Red Blend'}",2
A.A. Badenhorst Family Wines,{'South Africa'},"{'Coastal Region', 'Swartland'}",16.0,17.0,16.666666666666668,17.0,0.5773502691896255,85,90,88.33333333333333,90.0,2.88675134594813,"{'Secateurs Cinsault-Shiraz-Grenache', 'Secateurs', 'Secateurs Red Blend'}","{'Red Blend', 'Rosé'}",3
A.P. Vin,{'US'},{'California'},48.0,56.0,52.0,52.0,4.618802153517007,85,91,88.0,88.0,2.943920288775951,"{'Keefer Ranch Vineyard', 'Kanzler Vineyard', ""Garys' Vineyard""}",{'Pinot Noir'},4
A.R. Lenoble ,{'France'},{'Champagne'},45.0,75.0,54.3125,54.0,8.623369411082885,87,93,90.5625,90.5,1.6317168872080718,"{'Dosage Zéro Brut Nature', 'Intense Brut', 'Gentilhomme Blanc de Blancs Grand Cru Brut', 'Grand Cru Blanc de Blancs Chouilly Brut', 'Premier Cru Blanc de Noirs Bisseuil Brut', 'Terroirs Brut Rosé'}","{'Pinot Noir', 'Champagne Blend', 'Chardonnay'}",16
A.S. Kiken,{'US'},{'California'},40.0,49.0,44.5,44.5,6.363961030678928,83,86,84.5,84.5,2.1213203435596424,"{'Red Table Wine', 'Estate'}","{'Red Blend', 'Bordeaux-style Red Blend'}",2
A.T. Richardson,{'Australia'},{'Victoria'},22.0,22.0,22.0,22.0,0.0,87,91,89.0,89.0,2.8284271247461903,{'Chockstone'},{'Shiraz'},2
AVA Grace Vineyards,{'US'},{'California'},9.0,12.0,10.5,10.5,2.1213203435596424,86,88,87.0,87.0,1.4142135623730951,"{'Fruity Silky Soft', 'Peach, Bright, Lovely'}","{'Merlot', 'Chardonnay'}",2
Aaron,{'US'},{'California'},44.0,44.0,44.0,44.0,,93,93,93.0,93.0,,{'Trespasser'},{'Rhône-style Red Blend'},1
Abacela,{'US'},{'Oregon'},11.0,100.0,28.414634146341463,27.0,15.633258792964597,85,93,88.97560975609755,89.0,2.0431324587266566,"{'Reserve', ""Vintner's Blend #12"", 'Reserve South Face Block', ""Vintner's Blend #10 Red Table Wine"", 'Fiesta', 'Paramour', ""Vintner's Blend #16"", 'Grenache', ""Vintner's Blend #9 Red Table Wine"", 'Estate', ""Vintner's Blend #15"", 'Umpqua Cuvée', 'Barrel Select', 'Vintners Blend Red Table Wine', 'Estate Grown', ""Vintner's Blend #13 Red Table Wine"", 'Estate Grown Grenache', 'Rosé', 'Northwest Block Reserve'}","{'Graciano', 'Garnacha', 'Albariño', 'Tannat', 'Grenache', 'Rosé', 'Malbec', 'Syrah', 'Tempranillo', 'Red Blend', 'Dolcetto', 'Viognier', 'Tinta Amarela'}",41
Abad,{'Spain'},{'Northern Spain'},14.0,17.0,15.0,14.0,1.7320508075688772,83,86,84.66666666666667,85.0,1.5275252316519463,{'Gotín del Risc'},"{'Red Blend', 'Godello', 'Mencía'}",3
Abad Dom Bueno,{'Spain'},{'Northern Spain'},28.0,28.0,28.0,28.0,,91,91,91.0,91.0,,{'Roble'},{'Mencía'},1
Abadia Retuerta,{'Spain'},{'Northern Spain'},17.0,199.0,73.26666666666667,40.0,55.28945477687232,81,93,88.6,87.0,3.978513721048531,"{'PV Petit Verdot', 'Pago Negralada', 'Le Domaine Blanco de Guarda', 'Rívola', 'Estate Grown Selección Especial', 'Selección Especial', 'Pago Garduña', 'Pago Valdebellón'}","{'Petit Verdot', 'Cabernet Sauvignon', 'Tempranillo Blend', 'Cabernet Sauvignon-Tempranillo', 'Tempranillo', 'Syrah', 'White Blend', 'Red Blend'}",15
Abadía da Cova,{'Spain'},{'Galicia'},25.0,25.0,25.0,25.0,,88,88,88.0,88.0,,{'Barrica'},{'Mencía'},1
Abadía de Acón,{'Spain'},{'Northern Spain'},22.0,22.0,22.0,22.0,,90,90,90.0,90.0,,{'Crianza'},{'Tempranillo'},1
Abadía la Arroyada,{'Spain'},{'Northern Spain'},13.0,23.0,18.0,18.0,7.0710678118654755,84,86,85.0,85.0,1.4142135623730951,"{'Crianza', 'Tinto Joven'}",{'Tempranillo'},2
Abarbanel,{'France'},"{'Beaujolais', 'Alsace', 'Languedoc-Roussillon'}",10.0,25.0,16.571428571428573,15.0,5.740416444159862,81,86,83.28571428571429,83.0,1.799470821684876,"{'Estate Bottled Kosher', 'Estate Bottled', 'Château de la Salle Kosher', ""Cremant d'Alsace""}","{'Merlot', 'Gewürztraminer', 'Syrah', 'Gamay', 'Champagne Blend', 'Chardonnay', 'Pinot Blanc'}",7
Abbadia Ardenga,{'Italy'},{'Tuscany'},43.0,65.0,57.0,60.0,9.626352718795768,91,95,92.75,92.5,2.0615528128088303,{'Vigna Piaggia'},"{'Sangiovese Grosso', 'Sangiovese'}",4
Abbaye Sylva Plana,{'France'},{'Languedoc-Roussillon'},29.0,29.0,29.0,29.0,,90,90,90.0,90.0,,{'La Closeraie'},{'Rhône-style Red Blend'},1
Abbaye de Saint-Ferme,{'France'},{'Bordeaux'},25.0,25.0,25.0,25.0,,87,87,87.0,87.0,,{'Vieilles Vignes'},{'Bordeaux-style Red Blend'},1
Abbazia Santa Anastasia,{'Italy'},{'Sicily & Sardinia'},25.0,77.0,43.142857142857146,42.0,17.449246129165306,85,92,87.28571428571429,86.0,2.360387377408328,"{'Sinestesìa', 'Litra', 'Baccante', 'Passomaggio', 'Montenero'}","{'Cabernet Sauvignon', 'Red Blend', 'White Blend', 'Inzolia'}",7
Abbazia di Novacella,{'Italy'},{'Northeastern Italy'},25.0,45.0,33.041666666666664,30.0,7.262046463675355,86,95,90.08333333333333,90.0,2.145098896406018,"{'Praepositus Moscato Rosa', 'Praepositus', 'Praepositus Riserva', 'Praepositus  Passito', 'Riserva', 'Praepositus Passito'}","{'Moscato', 'Riesling', 'Grüner Veltliner', 'Lagrein', 'Veltliner', 'Pinot Nero', 'Sylvaner', 'Moscato Rosa', 'Kerner'}",24
Abbona Marziano,{'Italy'},{'Piedmont'},78.0,80.0,79.0,79.0,1.4142135623730951,87,92,89.5,89.5,3.5355339059327378,"{'Pressenda', 'Ravera'}",{'Nebbiolo'},2
Abbot's Passage,{'US'},{'California'},60.0,85.0,72.5,72.5,17.67766952966369,91,92,91.5,91.5,0.7071067811865476,"{'Points Unknown', 'Due West Nuns Canyon Vineyard'}","{'Cabernet Sauvignon', 'Rhône-style Red Blend'}",2
Abbotts,{'France'},{'Languedoc-Roussillon'},35.0,35.0,35.0,35.0,,91,91,91.0,91.0,,{'Cumulo Nimbus'},{'Shiraz'},1
Abbotts Delaunay,{'France'},{'France Other'},22.0,22.0,22.0,22.0,,88,88,88.0,88.0,,{'Alto Stratus'},{'Carignan'},1
Abeja,{'US'},{'Washington'},30.0,85.0,57.4,55.0,19.65451602049768,89,97,91.8,90.0,3.271085446759225,"{'Reserve', 'Heather Hill Estate', 'Heather Hill Vineyard', 'Heather Hill', 'Estate Grown'}","{'Cabernet Sauvignon', 'Viognier'}",5
Abelis Carthago,{'Spain'},{'Northern Spain'},24.0,60.0,36.25,30.5,16.378339354159202,88,93,90.75,91.0,2.217355782608347,"{'William Selection', 'Fighting Bulls', 'Lui Selection', 'Lui Selection Crianza'}","{'Tempranillo', 'Tinta de Toro'}",4
Aberrant Cellars,{'US'},{'Oregon'},29.0,60.0,43.09090909090909,45.0,11.501778518599162,86,95,91.36363636363636,91.0,2.248231628312672,"{'Chehalem Mountain Vineyard Block B3 Old Vines', 'Confero', 'Philtrum Blanc', 'Carpe Noctum', 'Gran Moraine Vineyard'}",{'Pinot Noir'},11
Abiouness,{'US'},{'California'},35.0,35.0,35.0,35.0,,92,92,92.0,92.0,,{'Stanly Ranch'},{'Pinot Noir'},1
Abiqua Wind,{'US'},{'Oregon'},12.0,25.0,15.0,15.0,3.968626966596886,83,88,85.55555555555556,85.0,2.0682789409984763,"{""Chloe's Breeze"", 'Caleb Knorr', 'Bin 5 Abiqua Cuvée', 'Gloria Anne', ""Collier's Early"", ""Isaac's Reserve""}","{'Muscat', 'Gewürztraminer', 'Pinot Noir', 'Müller-Thurgau', 'White Blend', 'Pinot Gris'}",9
Abraxas,{'Italy'},{'Sicily & Sardinia'},26.0,26.0,26.0,26.0,,88,88,88.0,88.0,,{'Scirafi'},{'Zibibbo'},1
Abrazo,{'Spain'},{'Northern Spain'},10.0,10.0,10.0,10.0,,83,83,83.0,83.0,,{'Crianza'},{'Tempranillo-Garnacha'},1
Acacia,{'US'},{'California'},27.0,75.0,50.833333333333336,50.0,11.132689774227766,85,94,89.4,89.0,2.5677039253535208,"{'Lone Tree Vineyard Barrel Select', 'St. Clair Vineyard', 'St. Clair Vyd', 'Lone Tree Vineyard Estate Grown', 'Winery Lake Vineyard', 'Reserve', 'Lone Tree', 'Sangiacomo Vineyard', 'Lone Tree Vineyard', 'Roberts Road Vineyard', 'Winery Lake Vineyard Estate Grown', 'Yellow Rock Vineyard', 'Lee Vyd', '35th Anniversary', 'Thornton Vineyard'}","{'Pinot Noir', 'Chardonnay'}",30
Accadia,{'Italy'},{'Central Italy'},13.0,22.0,17.666666666666668,18.0,4.509249752822894,85,89,86.66666666666667,86.0,2.0816659994661335,"{'Cantorì', 'Conscio', 'Consono'}",{'Verdicchio'},3
Accordini Igino,{'Italy'},{'Veneto'},24.0,60.0,41.333333333333336,40.0,18.036999011291577,88,92,90.0,90.0,2.0,{'Le Bessole'},{'Red Blend'},3
Achaia Clauss,{'Greece'},"{'Achaia', 'Muscat of Patras', 'Mavrodaphne of Patras', 'Peloponnese', 'Greece', 'Patras'}",9.0,13.0,11.25,11.0,1.58113883008419,82,90,86.25,87.0,2.764571782909092,"{'Demestica White', 'White Sweet Wine', 'Demestica', 'Imperial', 'Demestica Semi Dry', 'Demestica Red'}","{'Mavrodaphne', 'Muscat', 'Rosé', 'Moschofilero', 'Red Blend', 'White Blend'}",8
Achaval-Ferrer,{'Argentina'},{'Mendoza Province'},35.0,150.0,118.38461538461539,140.0,35.9618743985406,88,94,91.6923076923077,92.0,2.1750331562459553,"{'Quimera', 'Finca Bella Vista', 'Finca Mirador', 'Finca Altamira'}","{'Bordeaux-style Red Blend', 'Red Blend', 'Malbec'}",13
Acinum,{'Italy'},{'Veneto'},13.0,13.0,13.0,13.0,,85,85,85.0,85.0,,{'Extra Dry'},{'Glera'},1
Ackerman,{'France'},{'Loire Valley'},20.0,20.0,20.0,20.0,0.0,85,86,85.5,85.5,0.7071067811865476,"{'Rosé Brut', 'Brut'}",{'Sparkling Blend'},2
Ackerman Family Vineyards,{'US'},{'California'},50.0,50.0,50.0,50.0,,90,90,90.0,90.0,,{'Alavigna Tosca'},{'Cabernet Sauvignon-Sangiovese'},1
Aconcagua,{'Argentina'},{'Mendoza Province'},15.0,17.0,16.0,16.0,1.4142135623730951,82,84,83.0,83.0,1.4142135623730951,"{'Oak Roble', 'Reserve'}",{'Malbec'},2
Aconga,{'Argentina'},{'Mendoza Province'},10.0,10.0,10.0,10.0,,81,81,81.0,81.0,,{'Bonarda-Merlot'},{'Red Blend'},1
Acorex,{'Moldova'},{'Moldova'},16.0,16.0,16.0,16.0,,83,83,83.0,83.0,,{'Reserve'},{'Sauvignon Blanc'},1
Acorn,{'US'},{'California'},16.0,48.0,35.54545454545455,34.5,7.48794124371072,84,94,88.5,88.0,2.614064523559688,"{'Medley Alegria Vineyards', 'Alegría Vineyards Medley', 'Acorn Hill Alegria Vineyards', 'Alegria Vineyard Medley', 'Alegria Vineyards Axiom', 'Alegría Vineyards Axiom', 'Alegria Vineyards Heritage Vines', 'Axiom Alegria Vineyards', 'Alegria Vineyards', 'Alegría Vineyard Heritage Vines', 'Medley Alegría Vineyards', 'Heritage Vines Alegria Vineyards', 'Alegria Vineyard', 'Axiom Alegría Vineyards'}","{'Sangiovese', 'Syrah', 'Red Blend', 'Cabernet Franc', 'Zinfandel', 'Dolcetto'}",22
Acquiesce,{'US'},{'California'},24.0,26.0,25.0,25.0,1.4142135623730951,90,90,90.0,90.0,0.0,"{'Grenache', 'Belle Blanc'}","{'White Blend', 'Rosé'}",2
Acrobat,{'US'},{'Oregon'},13.0,15.0,13.75,13.5,0.9574271077563381,87,90,88.5,88.5,1.2909944487358056,{'Rosé of'},"{'Pinot Noir', 'Rosé'}",4
Acronym,{'US'},{'California'},20.0,20.0,20.0,20.0,,82,82,82.0,82.0,,{'Great'},{'White Blend'},1
Acumen,{'US'},{'California'},60.0,60.0,60.0,60.0,0.0,93,93,93.0,93.0,0.0,{'Mountainside'},{'Cabernet Sauvignon'},2
Acústic,{'Spain'},{'Catalonia'},20.0,40.0,26.25,22.5,9.464847243000456,88,92,89.25,88.5,1.8929694486000903,"{'Ritme Vinyes Velles Boniques Garnatxa-Carinyena', 'Vinyes Velles Nobles Garnatxa-Carinyena', 'Braó Vinyes Velles'}","{'Grenache-Carignan', 'Red Blend', 'Carignan-Grenache'}",4
Ad Lib,{'Australia'},{'Western Australia'},17.0,17.0,17.0,17.0,,86,86,86.0,86.0,,{'Cruel Mistress'},{'Pinot Noir'},1
Ad Vivum,{'US'},{'California'},125.0,135.0,130.0,130.0,7.0710678118654755,90,93,91.5,91.5,2.1213203435596424,{'Sleeping Lady Vineyard'},{'Cabernet Sauvignon'},2
Ada Nada,{'Italy'},{'Piedmont'},36.0,47.0,41.166666666666664,41.0,3.4880749227427246,87,92,88.83333333333333,88.0,1.8348478592697184,"{'Rombone Elisa', 'Valeirano', 'Elisa'}",{'Nebbiolo'},6
Adair Bachman,{'US'},{'California'},35.0,35.0,35.0,35.0,0.0,90,90,90.0,90.0,0.0,{'Rose & Thistle'},{'Rosé'},2
Adalia,{'Italy'},{'Veneto'},20.0,20.0,20.0,20.0,,84,84,84.0,84.0,,{'Singan'},{'White Blend'},1
Adamant Cellars,{'US'},{'Washington'},18.0,42.0,28.125,27.0,7.567552916422662,86,91,88.5,88.0,1.6903085094570334,"{'Nalin', ""Winemaker's Select Red Blend"", 'Spofford Station Vineyard', 'Red Blend', ""Winemaker's Select"", 'Bliss White Wine'}","{'Merlot', 'Syrah', 'White Blend', 'Red Blend', 'Bordeaux-style Red Blend'}",8
Adami,{'Italy'},{'Veneto'},15.0,32.0,19.565217391304348,18.0,3.4618188461154578,86,90,88.1304347826087,88.0,1.1795356492391758,"{'Col Credas Rive di Farra di Soligo', 'Col Credas Rive di Farra di Soligo Brut', 'Vigneto Giardino', 'Garbèl', 'Credas Rive di Farra di Soligo Brut', 'Dei Casel Extra Dry', 'Sul Lievito', 'Rive di Colbertaldo Vigneto Giardino Asciutto', 'Garbèl Brut', 'Cartizze Dry', 'Vigneto Giardino Dry', 'Bosco di Gica Brut', 'Extra Dry'}","{'Glera', 'Prosecco'}",23
Adams Bench,{'US'},{'Washington'},39.0,70.0,49.857142857142854,50.5,9.566424803262896,89,93,90.85714285714286,90.5,1.6574838603294904,"{'Stillwater Creek Vineyard', 'V Reserve', 'the V', 'Red Willow Vineyard', 'Reckoning', 'The V', 'Mays Discovery Vineyard', 'Artz and Shaw Red Mountain'}","{'Cabernet Sauvignon', 'Bordeaux-style Red Blend'}",14
Adanti,{'Italy'},{'Central Italy'},35.0,35.0,35.0,35.0,,87,87,87.0,87.0,,{'Arquata'},{'Red Blend'},1
Adastra,{'US'},{'California'},15.0,56.0,45.75,56.0,20.5,82,90,85.0,84.0,3.4641016151377535,"{'Proximus', ""Ed's Red""}","{'Red Blend', 'Pinot Noir', 'Chardonnay'}",4
Addamo,{'US'},{'California'},32.0,32.0,32.0,32.0,,87,87,87.0,87.0,,{'Reserve'},{'Syrah'},1
Addendum,{'US'},{'California'},95.0,95.0,95.0,95.0,0.0,91,93,92.0,92.0,1.4142135623730951,"{'Stagecoach Vineyard', 'Skellenger Lane'}",{'Cabernet Sauvignon'},2
Adega Algueira,{'Spain'},{'Galicia'},18.0,18.0,18.0,18.0,,90,90,90.0,90.0,,{'Brandan'},{'Godello'},1
Adega Cachín,{'Spain'},{'Galicia'},20.0,21.0,20.5,20.5,0.7071067811865476,89,89,89.0,89.0,0.0,{'Peza do Rei'},"{'White Blend', 'Mencía'}",2
Adega Cooperativa Ponte de Barca,{'Portugal'},{'Vinho Verde'},5.0,10.0,8.444444444444445,9.0,1.509230856356236,83,86,83.88888888888889,83.0,1.1666666666666663,"{'Ela Branco', 'Hera', 'Ela', 'Las Lilas', 'Hera Grande Escolha', 'Escolha'}","{'Loureiro', 'Portuguese White', 'Rosé'}",9
Adega Cooperativa Ponte de Lima,{'Portugal'},{'Vinho Verde'},10.0,10.0,10.0,10.0,0.0,84,85,84.6,85.0,0.5477225575051643,"{'Adamado', 'Encostas do Lima', 'Ponte'}","{'Loureiro', 'Portuguese White'}",5
Adega Cooperativa da Batalha,{'Portugal'},{'Portuguese Table Wine'},5.0,5.0,5.0,5.0,,84,84,84.0,84.0,,"{""D'Ó""}",{'Portuguese Red'},1
