winery,country,provinces,min_price,max_price,mean_price,median_price,price_std_dev,min_score,max_score,mean_score,median_score,score_std_dev,designations,varieties,num_wines
1+1=3,{'Spain'},{'Catalonia'},16.0,20.0,18.333333333333332,19.0,1.9663841605003507,82,89,86.66666666666667,87.0,2.5819888974716103,"{'Cygnus Brut Nature Reserva Made With Organic Grapes', 'Rosé', 'Brut'}","{'Sparkling Blend', 'Cabernet Sauvignon'}",6
10 Knots,{'US'},{'California'},21.0,35.0,28.0,28.0,9.899494936611665,81,83,82.0,82.0,1.4142135623730951,"{'Moonraker', 'Beachcomber'}","{'Rhône-style White Blend', 'Grenache'}",2
100 Percent Wine,{'US'},{'California'},18.0,18.0,18.0,18.0,0.0,84,89,86.5,86.5,3.5355339059327378,{'All Profits to Charity'},"{'Red Blend', 'Sauvignon Blanc'}",2
1000 Stories,{'US'},{'California'},19.0,19.0,19.0,19.0,0.0,90,91,90.5,90.5,0.7071067811865476,"{'Bourbon Barrel Aged', 'Bourbon Barrel Aged Batch No 13'}",{'Zinfandel'},2
12 Linajes,{'Spain'},{'Northern Spain'},25.0,60.0,37.6,35.0,13.183322798141598,88,92,91.0,92.0,1.7320508075688763,"{'Crianza', 'Reserva'}",{'Tempranillo'},5
12C Wines,{'US'},{'California'},75.0,115.0,92.6,95.0,16.14930339054908,90,94,92.6,93.0,1.5165750888103116,"{'Beckstoffer Vineyard  Georges III', 'G3 Beckstoffer Vineyard Georges III', 'Beckstoffer Vineyard Georges III G3', 'Beckstoffer Vineyard Georges III'}",{'Cabernet Sauvignon'},5
14 Hands,{'US'},{'Washington'},10.0,30.0,20.897435897435898,22.0,8.318637514308874,85,91,87.82051282051282,87.0,1.7452460974374886,"{'Stampede', 'Reserve M-S-G-V', 'Hot to Trot', 'Reserve Late Harvest', 'The Reserve Dry', 'The Reserve', 'Limited Release Kentucky Derby', 'The Reserve G-M-V', 'The Reserve Rosé of', 'Hot To Trot', 'Brut Méthode Champenoise', 'Brut Methode Champenoise'}","{'Cabernet Franc-Merlot', 'Merlot', 'Cabernet Sauvignon', 'Bordeaux-style Red Blend', 'Gewürztraminer', 'Sparkling Blend', 'Rhône-style Red Blend', 'Grenache', 'Rosé', 'Malbec', 'Red Blend', 'White Blend', 'Syrah', 'Pinot Gris', 'Sauvignon Blanc', 'Cabernet Franc', 'Viognier', 'Chardonnay'}",39
1752 Signature Wines,{'France'},{'Provence'},20.0,20.0,20.0,20.0,,88,88,88.0,88.0,,{'Marion'},{'Rosé'},1
18401 Cellars,{'US'},"{'Washington', 'Oregon'}",75.0,75.0,75.0,75.0,0.0,91,92,91.66666666666667,92.0,0.5773502691896278,{'Proprietary'},{'Bordeaux-style Red Blend'},3
1848 Winery,{'Israel'},"{'Galilee', 'Judean Hills'}",25.0,60.0,36.666666666666664,32.5,14.375905768565216,88,91,89.5,89.0,1.2247448713915885,"{'Special Reserve', 'Second Generation', 'Fifth Generation', 'Reserve'}","{'Cabernet Sauvignon', 'Red Blend', 'Cabernet Merlot', 'Cabernet Sauvignon-Merlot', 'Chardonnay'}",6
2 Lads,{'US'},{'Michigan'},44.0,75.0,59.5,59.5,21.920310216782973,86,89,87.5,87.5,2.1213203435596424,"{'D. Cuvée', 'Reserve'}","{'Pinot Noir', 'Cabernet Franc'}",2
29 & Oak Wines,{'US'},{'California'},45.0,85.0,58.333333333333336,45.0,23.094010767585033,90,92,90.66666666666667,90.0,1.1547005383792526,"{'Proprietary', 'Reserve'}","{'Red Blend', 'Cabernet Sauvignon', 'Bordeaux-style Red Blend'}",3
2Hawk,{'US'},{'Oregon'},22.0,45.0,38.0,42.5,10.923979738782625,86,88,87.25,87.5,0.9574271077563388,"{'Limited Reserve', 'Red-Tail Red v.2'}","{'Tempranillo', 'Bordeaux-style Red Blend'}",4
